id, name, sizeX, sizeY, sizeZ, strainX, strainY, NX, NY, elecX, elecY, elecZ, XY_fig, XZ_fig, data_file
68,thick4voltage-4xsub3.88ysub3.84,40,40,28.8,3.88,3.84,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.88ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.88ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.88ysub3.84-20000-compress8.npz
69,thick4voltage-4xsub3.88ysub3.88,40,40,28.8,3.88,3.88,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.88ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.88ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.88ysub3.88-20000-compress8.npz
70,thick4voltage-4xsub3.92ysub3.8,40,40,28.8,3.92,3.8,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.92ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.92ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.92ysub3.8-20000-compress8.npz
71,thick4voltage-4xsub3.92ysub3.84,40,40,28.8,3.92,3.84,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.92ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.92ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.92ysub3.84-20000-compress8.npz
72,thick4voltage-4xsub3.92ysub3.88,40,40,28.8,3.92,3.88,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.92ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.92ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.92ysub3.88-20000-compress8.npz
73,thick4voltage-4xsub3.92ysub3.92,40,40,28.8,3.92,3.92,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.92ysub3.92-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.92ysub3.92-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.92ysub3.92-20000-compress8.npz
74,thick4voltage-4xsub3.96ysub3.8,40,40,28.8,3.96,3.8,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.96ysub3.8-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.96ysub3.8-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.96ysub3.8-20000-compress8.npz
75,thick4voltage-4xsub3.96ysub3.84,40,40,28.8,3.96,3.84,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.96ysub3.84-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.96ysub3.84-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.96ysub3.84-20000-compress8.npz
76,thick4voltage-4xsub3.96ysub3.88,40,40,28.8,3.96,3.88,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.96ysub3.88-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.96ysub3.88-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.96ysub3.88-20000-compress8.npz
77,thick4voltage-4xsub3.96ysub3.92,40,40,28.8,3.96,3.92,4,4,0,0,-4,./XY_fig/XY_thick4voltage-4xsub3.96ysub3.92-20000.dat.jpg,./XZ_fig/XZ_thick4voltage-4xsub3.96ysub3.92-20000.dat.jpg,./XYZ/XYZ_thick4voltage-4xsub3.96ysub3.92-20000-compress8.npz
